id,event_id,series_id
3017,6819,3663
45589,85857,19430
3306,7356,3690
3766,8315,3852
3307,7357,3690
3304,7355,3723
2891,6620,3663
2897,6633,3665
20911,42065,11683
20980,42157,11707
21714,43335,4085
21022,42237,11743
22282,44473,12394
22375,44782,12450
21048,42268,11470
2932,6711,2747
37482,68247,20153
1569,3524,2374
21050,42270,11660
3767,8316,3852
1489,3399,2358
2247,5253,2739
21051,42284,11754
2935,6712,3663
2241,5227,2748
191,190,2395
21052,42285,11660
2916,6654,3663
2918,6666,3663
2922,6672,3663
2939,6716,3663
2942,6720,3672
3984,8933,3843
2943,6721,3606
1105,2243,2754
2949,6727,3606
192,283,2395
3985,8934,3843
3986,8935,3843
190,247,2395
196,276,2395
3765,8294,2734
3987,8936,3843
197,310,2395
2656,6302,3209
2657,6303,3209
2927,6688,3627
2245,5231,2739
21082,42378,11744
21124,42434,2760
30538,57802,15766
3301,7352,3759
3303,7354,3723
2926,6684,3627
2925,6680,3627
2924,6675,3627
3308,7358,3690
3309,7359,3690
1545,3467,3137
3310,7360,3690
3311,7361,3690
3312,7362,3690
3313,7363,3690
3314,7364,3690
2728,6377,3519
3315,7365,3690
3316,7366,3690
52440,104161,30952
3317,7367,3690
8764,17060,4814
18217,35714,8115
3318,7368,3690
46653,89175,26004
4354,9450,3911
34316,64215,18881
15853,29678,7557
1499,3410,3137
1500,3411,3137
1501,3412,3137
1502,3413,3137
1503,3414,3137
1504,3415,3137
1505,3416,3137
1506,3417,3137
1507,3418,3137
1508,3419,3137
1509,3420,3137
1510,3421,3137
1511,3422,3137
1512,3423,3137
1513,3424,3137
1514,3425,3137
1515,3426,3137
1516,3427,3137
1517,3428,3137
18865,3155,10050
2929,6699,3670
2928,6694,3670
2262,5339,2753
5049,10440,4032
10020,19549,2762
2892,6621,3663
3322,7372,3690
20912,42066,11683
3976,8916,3939
16698,31962,7964
2898,6634,3665
2917,6655,3663
2919,6667,3663
16716,32029,8203
15749,29683,7394
17547,34249,8945
16717,160,8205
3988,8938,3843
2250,5256,2739
37483,68371,20153
16718,175,8205
2531,6037,3597
2532,6038,3597
1107,2246,2752
2533,6039,3597
2534,6040,3597
2535,6041,3597
2536,6042,3597
2251,5257,2739
2553,6059,3597
5050,10441,4032
3989,8939,3843
1106,2244,2753
1110,2251,2749
9457,18486,5090
17549,34262,8898
47341,90638,26311
14431,27578,6897
47342,90639,26311
8939,17474,4896
3768,8317,3852
8933,17464,4896
8931,17462,4896
8946,17481,4896
2936,6713,3663
2940,6717,3663
3990,8940,3843
2252,5258,2739
2944,6722,3606
2950,6728,3606
1111,2252,2748
2961,6740,3663
2729,6378,3628
2730,6379,3628
2731,6380,3628
2963,6742,3663
2732,6381,3628
3018,6820,3663
2242,5228,2748
2248,5254,2739
7659,14552,4495
2747,6398,2448
3780,8351,3857
3782,8353,3857
2528,6032,3597
2527,6031,3597
2526,6030,3597
2525,6029,3597
15883,30112,5138
15848,29765,7563
2666,6312,3585
49344,96393,3632
16620,30759,7964
16621,30758,7964
16622,30757,7964
16623,30756,7964
16624,30726,7964
16625,30723,7964
30535,57799,15766
3991,8941,3843
2249,5255,2739
2253,5259,2739
2255,5261,2739
3992,8942,3843
16626,30722,7964
16719,159,8205
33320,62886,18551
13090,26452,6768
31,272,2339
31336,59298,17065
2930,6704,3670
4355,9451,3911
3764,8285,3337
3302,7353,3723
3319,7369,3690
3320,7370,3690
3321,7371,3690
3323,7373,3690
3324,7374,3690
3325,7375,3690
3326,7376,3690
3327,7377,3690
3328,7378,3690
3329,7379,3690
3330,7380,3690
3331,7381,3690
3332,7382,3690
3333,7383,3690
3334,7384,3690
3769,8318,3852
3770,8319,3852
3771,8320,3852
3772,8321,3852
3773,8322,3852
4679,9845,3450
18935,37440,10063
47797,91867,26603
16847,32326,8265
1112,2253,2747
16705,31992,8185
8936,17468,4896
1113,2254,2746
2465,5942,3588
2899,6635,3665
1114,2255,2768
3810,8382,3857
3777,8347,3857
27127,52687,14010
3834,8407,3857
3835,8409,3857
2263,5340,2753
3850,8424,3857
2530,6036,3597
2537,6043,3597
2538,6044,3597
2539,6045,3597
2540,6046,3597
2541,6047,3597
2542,6048,3597
2920,6669,3663
2937,6714,3663
2941,6718,3663
2554,6060,3597
2555,6061,3597
2556,6062,3597
2557,6063,3597
2558,6064,3597
2559,6065,3597
2560,6066,3597
2945,6723,3606
2951,6729,3606
2964,6743,3663
3977,8917,3939
3993,8943,3843
3774,8343,3857
4356,9452,3911
3994,8944,3843
7711,14666,3923
3995,8945,3843
2254,5260,2739
4680,9846,3924
7660,14553,4495
3996,8946,3843
5053,10444,4032
3997,8947,3843
3336,7386,3690
5051,10442,4032
3998,8948,3843
5052,10443,4032
3999,8949,3843
3775,8344,3857
5054,10445,4032
3337,7388,3690
4000,8950,3843
3338,7389,3690
3339,7390,3690
3340,7391,3690
3341,7392,3690
3342,7393,3690
3343,7394,3690
12729,24948,6345
15854,29752,7556
2516,6020,3597
2515,6019,3597
2513,6017,3597
2512,6016,3597
2508,6011,3597
15884,30113,5138
2668,6314,3585
3344,7395,3690
3345,7396,3690
3346,7397,3690
3347,7398,3690
3348,7399,3690
3349,7400,3690
3350,7401,3690
3351,7402,3690
3352,7403,3690
3353,7404,3690
3354,7405,3690
3355,7406,3690
3356,7407,3690
3357,7408,3690
3358,7409,3690
3359,7410,3690
3360,7411,3690
3361,7412,3690
3362,7413,3690
5055,10446,4032
5056,10447,4032
3776,8345,3857
18218,35717,9265
16704,31983,5898
3779,8350,3857
15855,29677,7556
16720,32043,8206
19658,39247,10657
5057,10448,4032
48411,93239,5812
7749,14711,3917
45573,85841,19426
22283,44474,12395
2900,6636,3665
2921,6671,3663
2938,6715,3663
2946,6724,3606
7662,14561,2753
2952,6730,3606
2965,6744,3663
5058,10449,4032
3978,8918,3939
5059,10450,4032
4001,8951,3953
3363,7414,3690
3364,7415,3690
3365,7416,3690
30529,57793,15766
34317,64216,18881
37262,68072,20067
46655,89176,26004
3366,7417,3690
3367,7418,3690
3368,7419,3690
17631,34520,9027
34319,64219,18881
4002,8952,3953
4003,8953,3953
5061,10452,4032
4004,8954,3953
4005,8966,3953
4006,8967,3953
5060,10451,4032
4357,9453,3911
5062,10453,4032
4681,9847,3924
31340,59301,17065
46654,89176,26003
32076,61049,4822
5063,10454,4032
5064,10455,4032
13089,26451,6768
5067,10458,4032
32217,61228,17822
5068,10459,4032
5069,10460,4032
5070,10461,4032
4009,932,3933
5071,10462,4032
5072,10463,4032
5073,10464,4032
5074,10465,4032
5075,10466,4032
5076,10467,4032
5077,10468,4032
5078,10469,4032
13091,26453,6768
5079,10470,4032
5080,10471,4032
17663,34552,9027
5081,10472,4032
8765,17061,4814
5082,10473,4032
5083,10474,4032
17685,34575,9030
32,168,2343
33,169,2343
34,295,2343
35,299,2343
38,153,2344
37,140,2344
5084,10475,4032
3788,8359,3857
3789,8360,3857
3790,8361,3857
3791,8362,3857
3792,8363,3857
17551,34273,8898
16953,32649,8354
20981,42158,11707
3785,8356,3857
20982,42160,11707
3787,8358,3857
21023,42238,11743
21049,42269,11470
21083,42379,11744
21145,42512,9287
18867,37344,9113
3795,8366,3857
13216,26553,6768
3797,8368,3857
15750,29688,7193
16721,32044,8206
30536,57800,15766
7663,14565,4495
6598,13049,4267
39,303,2344
40,291,2344
41,252,2344
42,279,2344
1168,308,2344
43,142,2344
19659,39247,10655
19656,39246,10655
33321,62887,18551
35516,65892,6347
44928,84737,25423
5953,12173,4177
452,1396,2460
453,1397,2460
454,1398,2460
455,1399,2460
456,1400,2460
457,1401,2460
458,1402,2460
459,1403,2460
460,1404,2460
461,1405,2460
462,1406,2460
463,1407,2460
7666,14569,4497
274,962,2412
276,967,2412
277,968,2412
278,969,2412
279,970,2412
280,971,2412
281,972,2412
25600,50895,13742
19752,39439,10655
2901,6637,3665
15856,29766,7554
31341,59302,17065
2947,6725,3606
275,966,2412
2953,6731,3663
46656,89177,26003
3119,7007,3690
34318,64217,18881
2966,6745,3663
49711,97652,18709
8935,17467,4896
2581,6133,3598
2582,6132,3598
2583,6131,3598
2584,6130,3598
2585,6128,3598
2586,6127,3598
2587,6126,3598
2588,6134,3598
2589,6135,3598
2590,6136,3598
2591,6137,3598
265,944,2405
266,945,2406
3979,8919,3939
3090,6876,3690
3091,6878,3690
3105,6990,3690
3106,6992,3690
3107,6994,3690
3108,6996,3690
3109,6997,3690
3110,6998,3690
3980,8920,3939
5086,10477,4042
5085,10476,4042
3111,6999,3690
3112,7000,3690
3113,7001,3690
3114,7002,3690
3115,7003,3690
3116,7004,3690
3117,7005,3690
3118,7006,3690
4010,8989,3933
4008,2073,3941
51,151,2346
52,138,2346
267,946,2407
270,958,2408
271,959,2408
16954,32650,8354
3369,7423,3764
3370,7424,3764
3371,7425,3764
3372,7426,3764
3373,7427,3764
3374,7428,3764
3375,7429,3764
3376,7430,3764
3377,7431,3764
3803,8374,3857
3804,8375,3857
3805,8376,3857
4358,9454,3911
4682,9848,3924
7712,14667,3923
15885,30114,5138
44,196,2344
16998,32730,6760
17082,33243,8529
17130,33428,7601
17147,33461,4795
2670,6316,3585
7750,14712,3917
7779,14741,3917
7804,14766,3917
5087,10478,4042
513,1470,2482
514,1471,2482
515,1472,2482
516,1474,2482
517,1475,2482
518,1477,2482
519,1492,2482
520,1493,2482
521,1494,2482
522,1495,2482
523,1496,2482
524,1497,2482
525,1498,2482
526,1499,2482
527,1500,2482
528,1501,2482
529,1502,2482
530,1503,2482
531,1504,2482
532,1505,2482
533,1506,2482
534,1507,2482
535,1508,2482
536,1509,2482
537,1510,2482
538,1511,2482
539,1512,2482
540,1513,2482
541,1514,2482
